stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1AARD,5009,"AVRILLE - ARDENNE",,47.511486,-0.596012,,,0,,,1
1ACAS,16233,"ACACIAS",,47.503646,-0.586375,,,0,,,1
1ANRO,3935,"ANGERS - ROSERAIE",,47.443849,-0.553886,,,0,,,1
1BAMA,24604,"BAMAKO",,47.452165,-0.556459,,,0,,,1
1BASC,4827,"BASCULE",,47.508686,-0.591659,,,0,,,1
1BMAI,16196,"BERGES DE MAINE",,47.479341,-0.549382,,,0,,,1
1BOTA,24128,"TERRA BOTANICA",,47.494224,-0.574617,,,0,,,1
1BROY,32629,"BOIS DU ROY",,47.499605,-0.583159,,,0,,,1
1CAPU,29904,"CAPUCINS",,47.486888,-0.555233,,,0,,,1
1CECO,519627,"CENTRE DE CONGRES",,47.474152,-0.546083,,,0,,,1
1FMBL,11327,"FOCH MAISON BLEUE",,47.468992,-0.549756,,,0,,,1
1HARA,24652,"FOCH HARAS",,47.466815,-0.552657,,,0,,,1
1HDVA,194430,"HÔTEL DE VILLE",,47.471695,-0.546791,,,0,,,1
1HOPA,24731,"CHU - HOPITAL",,47.481385,-0.554158,,,0,,,1
1HSAU,3016,"HAUTS DE SAINT AUBIN",,47.492152,-0.560422,,,0,,,1
1JE23,24624,"JEAN XXIII",,47.448607,-0.562932,,,0,,,1
1JMOU,4159,"JEAN MOULIN",,47.490467,-0.552195,,,0,,,1
1JVIL,20509,"JEAN VILAR",,47.445072,-0.562326,,,0,,,1
1LAFA,31950,"PLACE LA FAYETTE",,47.460812,-0.554723,,,0,,,1
1LGAR,20910,"LES GARES",,47.464465,-0.555465,,,0,,,1
1PMAY,17915,"PLATEAU DE MAYENNE",,47.495710,-0.580051,,,0,,,1
1STGI,23494,"SAINT GILLES",,47.506512,-0.589539,,,0,,,1
1STRA,7319,"STRASBOURG",,47.456676,-0.554039,,,0,,,1
1STSE,901361,"SAINT SERGE UNIVERSITE",,47.476135,-0.550670,,,0,,,1
1VERN,25220,"VERNEAU",,47.492424,-0.567108,,,0,,,1
2AARD,22259,"AVRILLE - ARDENNE",,47.511546,-0.595931,,,0,,,1
2ACAS,12080,"ACACIAS",,47.503703,-0.586270,,,0,,,1
2ANRO,32091,"ANGERS - ROSERAIE",,47.443924,-0.554027,,,0,,,1
2BAMA,30251,"BAMAKO",,47.452110,-0.556370,,,0,,,1
2BASC,3822,"BASCULE",,47.508781,-0.591492,,,0,,,1
2BMAI,28864,"BERGES DE MAINE",,47.479441,-0.549370,,,0,,,1
2BOTA,22213,"TERRA BOTANICA",,47.494268,-0.574759,,,0,,,1
2BROY,31784,"BOIS DU ROY",,47.499664,-0.583055,,,0,,,1
2CAPU,3726,"CAPUCINS",,47.486819,-0.555139,,,0,,,1
2CECO,363258,"CENTRE DE CONGRES",,47.474266,-0.546100,,,0,,,1
2FMBL,3788,"FOCH MAISON BLEUE",,47.468932,-0.549656,,,0,,,1
2HARA,14426,"FOCH HARAS",,47.466749,-0.552567,,,0,,,1
2HDVA,184082,"HÔTEL DE VILLE",,47.471660,-0.546669,,,0,,,1
2HOPA,13445,"CHU - HOPITAL",,47.481321,-0.554055,,,0,,,1
2HSAU,29280,"HAUTS DE SAINT AUBIN",,47.492242,-0.560460,,,0,,,1
2JE23,30963,"JEAN XXIII",,47.448552,-0.562844,,,0,,,1
2JMOU,14673,"JEAN MOULIN",,47.490425,-0.552075,,,0,,,1
2JVIL,4486,"JEAN VILAR",,47.444880,-0.562255,,,0,,,1
2LAFA,15573,"PLACE LA FAYETTE",,47.460830,-0.554606,,,0,,,1
2LGAR,11515,"LES GARES",,47.464494,-0.555350,,,0,,,1
2PMAY,4961,"PLATEAU DE MAYENNE",,47.495760,-0.579940,,,0,,,1
2STGI,31945,"SAINT GILLES",,47.506242,-0.588975,,,0,,,1
2STRA,16728,"STRASBOURG",,47.457518,-0.554059,,,0,,,1
2STSE,175339,"SAINT SERGE UNIVERSITE",,47.476250,-0.550688,,,0,,,1
2VERN,13983,"VERNEAU",,47.492517,-0.567162,,,0,,,1
AAMIPI,32237,"AMIPI",,47.463699,-0.626626,,,0,,,0
AAMIPI-E,28632,"AMIPI",,47.463783,-0.626675,,,0,,,0
AARD-7C,562,"AVRILLE - ARDENNE",,47.511027,-0.595431,,,0,,,1
AARD-7E,27206,"AVRILLE - ARDENNE",,47.512074,-0.596647,,,0,,,1
ABI,180,"AVICENNE",,47.481296,-0.688410,,,0,,,0
ABI-E,931,"AVICENNE",,47.481266,-0.688869,,,0,,,0
ACADEMIE,913399,"ACADEMIE",,47.467432,-0.559145,,,0,,,0
ACAD-PLA,33737,"ACADEMIE",,47.468430,-0.558686,,,0,,,0
ACAS-7C,9581,"ACACIAS",,47.503467,-0.586344,,,0,,,0
ACAS-7E,19485,"ACACIAS",,47.504151,-0.586519,,,0,,,0
ADEZIERE,1649,"AVRILLE ADEZIERE",,47.504950,-0.605053,,,0,,,1
AIGREFOI,805210,"AIGREFOIN",,47.473258,-0.439654,,,0,,,0
ALEROY,16814,"ANDRE LEROY",,47.464497,-0.548498,,,0,,,1
ALLARD,27879,"ALLARD",,47.449534,-0.538747,,,0,,,1
ALLARD-E,5528,"ALLARD",,47.448897,-0.538698,,,0,,,1
ALLEMA-E,9078,"ALLEMAGNE",,47.527919,-0.599953,,,0,,,1
ALLEMAGN,7193,"ALLEMAGNE",,47.526667,-0.601923,,,0,,,1
